MessageCode,MessageVersion,ApplicationType,TokenID,ExchangeSegment,ExchangeInstrumentID,BarTime,BarVolume,High,Low,Open,Close,OpenInterest,SumOfQtyInToPrice,name
1505,1,0,0,1,26000,1732526159,0,24304.2,24212.25,24253.55,24288.7,0,0,NIFTY 50
1505,1,0,0,1,26001,1732526159,0,52078.95,51774.05,52046.35,52004.5,0,0,NIFTY BANK
1505,1,0,0,1,26000,1732526219,0,24312.5,24270.05,24289.6,24274.9,0,0,NIFTY 50
1505,1,0,0,1,26001,1732526219,0,52099.55,52016.2,52016.2,52057.35,0,0,NIFTY BANK
1505,1,0,0,2,41511,1732526219,939585,785.4,701.9,705.45,721.1,1902120,0,BANKNIFTY24NOV51500CE
1505,1,0,0,2,41512,1732526219,546345,192.55,166.25,192.55,177.3,511140,0,BANKNIFTY24NOV51500PE
1505,1,0,0,2,41513,1732526219,326505,710,630.1,636.7,650.65,405270,0,BANKNIFTY24NOV51600CE
1505,1,0,0,2,41516,1732526219,159885,223.3,191.55,221.9,205.1,77520,0,BANKNIFTY24NOV51600PE
1505,1,0,0,2,41518,1732526219,377835,639.15,563.85,563.85,584.9,936450,0,BANKNIFTY24NOV51700CE
1505,1,0,0,2,41523,1732526219,243120,257.9,221.15,257.9,236.35,70650,0,BANKNIFTY24NOV51700PE
1505,1,0,0,2,41524,1732526219,591795,571.9,505,505,516,437880,0,BANKNIFTY24NOV51800CE
1505,1,0,0,2,41528,1732526219,312060,297.75,253.1,297.75,272.35,78165,0,BANKNIFTY24NOV51800PE
1505,1,0,0,2,41545,1732526219,789630,508.95,442.85,448.9,460.15,367485,0,BANKNIFTY24NOV51900CE
1505,1,0,0,2,41546,1732526219,416085,339.4,290.65,339.4,312.85,49305,0,BANKNIFTY24NOV51900PE
1505,1,0,0,2,41547,1732526219,2474130,449.9,390.55,399,405.9,2379900,0,BANKNIFTY24NOV52000CE
1505,1,0,0,2,41548,1732526219,1179030,385.9,332.3,385.9,357.75,696240,0,BANKNIFTY24NOV52000PE
1505,1,0,0,2,41554,1732526219,698625,398.4,341.3,349.25,354.45,272760,0,BANKNIFTY24NOV52100CE
1505,1,0,0,2,41559,1732526219,209385,436.35,375.55,436.1,406.85,34260,0,BANKNIFTY24NOV52100PE
1505,1,0,0,2,41567,1732526219,578700,347.1,295.85,301.4,306.75,427335,0,BANKNIFTY24NOV52200CE
1505,1,0,0,2,41575,1732526219,137505,495.4,431.25,492.9,461.1,44775,0,BANKNIFTY24NOV52200PE
1505,1,0,0,2,41587,1732526219,394755,301,253.25,262.85,265.95,343965,0,BANKNIFTY24NOV52300CE
1505,1,0,0,2,41595,1732526219,64755,553.45,485.55,553.45,518.55,44895,0,BANKNIFTY24NOV52300PE
1505,1,0,0,2,41600,1732526219,438390,259.85,218.8,231.5,226.15,346410,0,BANKNIFTY24NOV52400CE
1505,1,0,0,2,41603,1732526219,35085,621.75,544.3,621.75,582.45,21210,0,BANKNIFTY24NOV52400PE
1505,1,0,0,2,41604,1732526219,1059330,223,183.9,198.25,193.7,1593195,0,BANKNIFTY24NOV52500CE
1505,1,0,0,2,41605,1732526219,103470,689.75,603.65,689.75,647.3,276555,0,BANKNIFTY24NOV52500PE
1505,1,0,0,2,42953,1732526219,446100,346.55,318.75,330.5,321.95,800325,0,NIFTY24NOV24050CE
1505,1,0,0,2,42954,1732526219,383075,86.35,76.15,77.05,83.25,186875,0,NIFTY24NOV24050PE
1505,1,0,0,2,42955,1732526219,1377275,309.75,283.75,295,285.55,2521575,0,NIFTY24NOV24100CE
